date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:27:11	1476/1476	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2020%20Feb%202026%2017:27:11%20GMT	https://housebox-html-demo.vercel.app/robots.txt		(from )
18:27:11	161112/161112	---MCZ	200	added ('OK')	text/html	etag:W/%221dcef0af641e79e5dd8bd7e31749ac4a%22	https://housebox-html-demo.vercel.app/	C:/Users/localadmin/Documents/terra-real-estate/terra-real-estate/public/template/bootstrap/design/housebox-html-demo.vercel.app/index.html	(from )
18:27:11	530/530	---M--	200	added ('OK')	image/png	etag:%2203f6e0bec2ac8caf1c61d94fd7c73fe5%22	https://housebox-html-demo.vercel.app/assets/img/logo/fav-logo1.png	C:/Users/localadmin/Documents/terra-real-estate/terra-real-estate/public/template/bootstrap/design/housebox-html-demo.vercel.app/assets/img/logo/fav-logo1.png	(from https://housebox-html-demo.vercel.app/)
18:27:12	193528/193528	---MCZ	200	added ('OK')	text/css	etag:W/%22bfca1b85a7b4e7962a388d02cfbd5b4e%22	https://housebox-html-demo.vercel.app/assets/css/plugins/bootstrap.min.css	C:/Users/localadmin/Documents/terra-real-estate/terra-real-estate/public/template/bootstrap/design/housebox-html-demo.vercel.app/assets/css/plugins/bootstrap.min.css	(from https://housebox-html-demo.vercel.app/)
18:27:12	26053/26053	---MCZ	200	added ('OK')	text/css	etag:W/%22847da8fca8060ca1a70f976aab1210b9%22	https://housebox-html-demo.vercel.app/assets/css/plugins/aos.css	C:/Users/localadmin/Documents/terra-real-estate/terra-real-estate/public/template/bootstrap/design/housebox-html-demo.vercel.app/assets/css/plugins/aos.css	(from https://housebox-html-demo.vercel.app/)
18:27:13	705522/705522	---MCZ	200	added ('OK')	text/css	etag:W/%2235bb0d0682b2292dd15d1c593a364e3e%22	https://housebox-html-demo.vercel.app/assets/css/plugins/fontawesome.css	C:/Users/localadmin/Documents/terra-real-estate/terra-real-estate/public/template/bootstrap/design/housebox-html-demo.vercel.app/assets/css/plugins/fontawesome.css	(from https://housebox-html-demo.vercel.app/)
18:27:13	7651/7651	---MCZ	200	added ('OK')	text/css	etag:W/%22f1473c8cdc96c2bf6250fe9b530f9c19%22	https://housebox-html-demo.vercel.app/assets/css/plugins/magnific-popup.css	C:/Users/localadmin/Documents/terra-real-estate/terra-real-estate/public/template/bootstrap/design/housebox-html-demo.vercel.app/assets/css/plugins/magnific-popup.css	(from https://housebox-html-demo.vercel.app/)
18:27:14	3149/3149	---MCZ	200	added ('OK')	text/css	etag:W/%2290bceeedfc30276064b336bdcc90e36a%22	https://housebox-html-demo.vercel.app/assets/css/plugins/mobile.css	C:/Users/localadmin/Documents/terra-real-estate/terra-real-estate/public/template/bootstrap/design/housebox-html-demo.vercel.app/assets/css/plugins/mobile.css	(from https://housebox-html-demo.vercel.app/)
18:27:14	3356/3356	---MCZ	200	added ('OK')	text/css	etag:W/%2210c4b48fa2171853972a20cbf93eda60%22	https://housebox-html-demo.vercel.app/assets/css/plugins/owlcarousel.min.css	C:/Users/localadmin/Documents/terra-real-estate/terra-real-estate/public/template/bootstrap/design/housebox-html-demo.vercel.app/assets/css/plugins/owlcarousel.min.css	(from https://housebox-html-demo.vercel.app/)
18:27:14	6929/6929	---MCZ	200	added ('OK')	text/css	etag:W/%22abe3b5dfdae3b05f83fd4be839cafcd1%22	https://housebox-html-demo.vercel.app/assets/css/plugins/sidebar.css	C:/Users/localadmin/Documents/terra-real-estate/terra-real-estate/public/template/bootstrap/design/housebox-html-demo.vercel.app/assets/css/plugins/sidebar.css	(from https://housebox-html-demo.vercel.app/)
18:27:15	1776/1776	---MCZ	200	added ('OK')	text/css	etag:W/%22f38b2db10e01b1572732a3191d538707%22	https://housebox-html-demo.vercel.app/assets/css/plugins/slick-slider.css	C:/Users/localadmin/Documents/terra-real-estate/terra-real-estate/public/template/bootstrap/design/housebox-html-demo.vercel.app/assets/css/plugins/slick-slider.css	(from https://housebox-html-demo.vercel.app/)
18:27:15	4283/4283	---MCZ	200	added ('OK')	text/css	etag:W/%2298ba51bafc5e92f5e126d476c745bb70%22	https://housebox-html-demo.vercel.app/assets/css/plugins/nice-select.css	C:/Users/localadmin/Documents/terra-real-estate/terra-real-estate/public/template/bootstrap/design/housebox-html-demo.vercel.app/assets/css/plugins/nice-select.css	(from https://housebox-html-demo.vercel.app/)
18:27:15	18459/18459	---MCZ	200	added ('OK')	text/css	etag:W/%222d9bcdacffd0d46d6822ca6f1609ccbe%22	https://housebox-html-demo.vercel.app/assets/css/plugins/swiper-slider.css	C:/Users/localadmin/Documents/terra-real-estate/terra-real-estate/public/template/bootstrap/design/housebox-html-demo.vercel.app/assets/css/plugins/swiper-slider.css	(from https://housebox-html-demo.vercel.app/)
18:27:16	660981/660981	---MCZ	200	added ('OK')	text/css	etag:W/%22ef675eb38a95a5de84f21884d08a5ff2%22	https://housebox-html-demo.vercel.app/assets/css/main.css	C:/Users/localadmin/Documents/terra-real-estate/terra-real-estate/public/template/bootstrap/design/housebox-html-demo.vercel.app/assets/css/main.css	(from https://housebox-html-demo.vercel.app/)
